spectral_rolloff,zero_crossing_rate,spectral_bandwidth,spectral_centroid,spectral_contrast,mfcc,chroma,tempo,rms,track_id
2483.867632050965,0.020635711503819272,2514.54766384305,1407.3242588824069,23.20838183059057,-1.6338418,0.43145746,92.21311475409836,0.11611507,0Bb9oRoN3suM9iiIwzHtmX
1400.7337831358311,0.015627508465905198,2213.3360189526884,1034.4222472809906,20.887442094536596,-2.017988,0.47695667,125.0,0.13643242,0BbPcyNwgIbB9GYNwCN9Ja
3727.853885377765,0.03617590356578569,2527.8802212255423,1919.2462012102585,21.351675342729596,-6.1825986,0.33885878,42.61363636363637,0.16640757,0bCgcTDkZ1RhguEeuUhZ9k
5235.372141403257,0.03848065879305356,3066.3702498379266,2338.582445935929,21.560843122219133,2.8087068,0.46882233,119.68085106382979,0.24418071,0BCUve4b3KySD9Sk8CMZ2i
4442.299413822402,0.03209396142729951,2993.4767858931978,2067.1075966756853,21.779397903812036,4.121311,0.4641514,122.28260869565217,0.20675656,0bF5cHljGnTv14Rio2BBGL
6674.711778503237,0.05340872428696185,3631.084069184623,2953.584029010139,21.91722935408246,0.60736144,0.44605267,92.21311475409836,0.16931552,0BFWUoOu91FcOEtpTdWFrN
4832.528828273436,0.030975293683298297,2987.764417491461,2074.6504115149537,22.774467420669723,-2.437296,0.37823895,148.02631578947367,0.1377747,0BhCK7Z9fg4cqu0q0gNtjT
4742.904902214739,0.0368241595567284,2773.2085006478533,2156.4190796693238,22.46630536101433,-3.619829,0.440428,130.8139534883721,0.17251983,0BhmtRzdjNV0bQ5veUOazN
5247.739871818862,0.040991046471510105,3148.463983021829,2452.132841899675,21.897801375187868,4.055789,0.5496196,133.92857142857142,0.19965598,0bIcfdH8VWCXcR0KNjDRF2
6231.605183498056,0.05314679185793245,3364.7731637954503,2896.8770759604877,21.321922291355904,1.0505683,0.39245006,96.98275862068965,0.15203036,0biCSADTAblvLTLtJz4pXO
4541.281524789007,0.03692157949825461,2964.4350026252955,2165.9087452883596,20.247644793252835,4.445493,0.5563972,125.0,0.22118506,0BkI4Yoh4a6p3v0PXogsjs
8299.052057205276,0.0468950306330407,4156.036449843682,3255.5936780711786,24.008467494858788,-5.7205925,0.39004967,165.44117647058823,0.09173617,0bmp0lE3ArELHqda9PBMVG
6610.514568009383,0.06611920872306846,3373.278741536436,3080.392241371101,22.953719905181902,0.43805265,0.3415499,93.75,0.1814482,0boz1twDCLAVifLgoxSKJb
4108.647785030895,0.04027991028420039,2666.7571713243365,2021.625701705234,22.19398575088409,-0.49504122,0.41557544,104.16666666666667,0.12144102,0BRtjY6BHMic4e901yeGil
5201.085846303502,0.04512301394293126,3312.5129192128866,2514.1689457259777,21.481430783897917,0.331655,0.4383799,130.8139534883721,0.14966331,0BUuuEvNa5T4lMaewyiudB
